BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Município de Tefé-AM;2018;910,67442
Município de Tefé-AM;2019;319,63633
Município de Tefé-AM;2020;211,6924
Município de Tefé-AM;2021;426,24347
Município de Ubatuba-SP;2012;0
Município de Ubatuba-SP;2013;0
Município de Ubatuba-SP;2014;44,28646
Município de Ubatuba-SP;2015;58,59632
Município de Ubatuba-SP;2016;10,63106
Município de Ubatuba-SP;2017;137,63089
Município de Ubatuba-SP;2018;114,52397
Município de Ubatuba-SP;2019;163,80251
Município de Ubatuba-SP;2020;64,77652
Município de Ubatuba-SP;2021;73,89854
Município de Vitória-ES;2012;0
Município de Vitória-ES;2013;0
Município de Vitória-ES;2014;0
Município de Vitória-ES;2015;0
Município de Vitória-ES;2016;0
Município de Vitória-ES;2017;0
Município de Vitória-ES;2018;0
Município de Vitória-ES;2019;0
Município de Vitória-ES;2020;0
Município de Vitória-ES;2021;0,00606
Depósitos Judiciais1;2012;0
Depósitos Judiciais1;2013;0
Depósitos Judiciais1;2014;0
Depósitos Judiciais1;2015;750557,4608
Depósitos Judiciais1;2016;59254,61202
